Data Item,Table,Table Columns,Is CMDB Field?/Comments,
name,Assets,name,Do we need name and Asset name,
asset_name,Assets,asset_name,Yes,
hostname,Assets,hostname,Yes,
asset_type,Assets,asset_type,Yes,
description,Assets,description,Yes,
ip_address,Assets,ip_address,Yes,
fqdn,Assets,fqdn,Yes,
mac_address,Assets,mac_address,Yes,
environment,Assets,environment,Yes,
location,Assets,location,Yes,
datacenter,Assets,datacenter,Yes,
rack_location,Assets,rack_location,Yes,
availability_zone,Assets,availability_zone,Yes,
operating_system,Assets,operating_system,Yes,
os_version,Assets,os_version,Yes,
cpu_cores,Assets,cpu_cores,Yes,
memory_gb,Assets,memory_gb,Yes,
storage_gb,Assets,storage_gb,Yes,
business_owner,Assets,business_owner,Yes,
technical_owner,Assets,technical_owner,Yes,
department,Assets,department,Yes,
application_name,Assets,application_name,Yes,
technology_stack,Assets,technology_stack,Yes,
criticality,Assets,criticality,Do we need criticality and business criticality?,
business_criticality,Assets,business_criticality,Yes,
custom_attributes,Assets,custom_attributes,Yes,
six_r_strategy,Assets,six_r_strategy,Yes,
mapping_status,Assets,mapping_status,Yes,
migration_priority,Assets,migration_priority,Yes,
migration_complexity,Assets,migration_complexity,Yes,
migration_wave,Assets,migration_wave,Yes,
sixr_ready,Assets,sixr_ready,Yes,
status,Assets,status,Yes,
migration_status,Assets,migration_status,Yes,
dependencies,Assets,dependencies,Yes,
related_assets,Assets,related_assets,"No, Internal Field",
discovery_method,Assets,discovery_method,"No, Internal Field",
discovery_source,Assets,discovery_source,Yes,
discovery_timestamp,Assets,discovery_timestamp,"No, Internal Field",
cpu_utilization_percent,Assets,cpu_utilization_percent,Yes,
memory_utilization_percent,Assets,memory_utilization_percent,Yes,
disk_iops,Assets,disk_iops,Yes,
network_throughput_mbps,Assets,network_throughput_mbps,Yes,
completeness_score,Assets,completeness_score,"No, Internal Field",
quality_score,Assets,quality_score,"No, Internal Field",
current_monthly_cost,Assets,current_monthly_cost,Yes,
estimated_cloud_cost,Assets,estimated_cloud_cost,Yes,
imported_by,Assets,imported_by,"No, Internal Field",
imported_at,Assets,imported_at,"No, Internal Field",
source_filename,Assets,source_filename,"No, Internal Field",
raw_data,Assets,raw_data,"No, Internal Field",
field_mappings_used,Assets,field_mappings_used,Do we need this?,
raw_import_records_id,Assets,raw_import_records_id,"No, Internal Field",
created_at,Assets,created_at,"No, Internal Field",
updated_at,Assets,updated_at,"No, Internal Field",
created_by,Assets,created_by,"No, Internal Field",
updated_by,Assets,updated_by,"No, Internal Field",
discovery_status,Assets,discovery_status,"No, Internal Field",
discovery_completed_at,Assets,discovery_completed_at,"No, Internal Field",
assessment_readiness,Assets,assessment_readiness,"No, Internal Field",
assessment_readiness_score,Assets,assessment_readiness_score,"No, Internal Field",
assessment_blockers,Assets,assessment_blockers,"No, Internal Field",
assessment_recommendations,Assets,assessment_recommendations,"No, Internal Field",
confidence_score,Assets,confidence_score,"No, Internal Field",
technical_details,Assets,technical_details,Yes,
discovered_at,Assets,discovered_at,"No, Internal Field",
component_name  ,application_components,component_name  ,Yes,
component_type  ,application_components,component_type  ,Yes,
component_config,application_components,component_config,Yes,
canonical_application_id,application_name_variants,canonical_application_id,"No, Internal Field",
variant_name            ,application_name_variants,variant_name            ,"No, Internal Field",
