module,endpoint,frontend_connections
admin/llm_usage.py,/pricing/initialize,0
admin/llm_usage.py,/pricing/models,1
admin/llm_usage.py,/usage/costs/breakdown,1
admin/llm_usage.py,/usage/real-time,1
admin/llm_usage.py,/usage/report,1
admin/llm_usage.py,/usage/summary/daily,1
admin/session_comparison.py,/compare,0
admin/session_comparison.py,/comparisons/{comparison_id}/details,0
admin/session_comparison.py,/engagement/{engagement_id}/sessions,0
admin/session_comparison.py,/history,0
auth/rbac.py,/system/info,0
auth/rbac_original.py,/activate-user,1
auth/rbac_original.py,/active-users,2
auth/rbac_original.py,/admin/access-logs,0
auth/rbac_original.py,/admin/create-user,1
auth/rbac_original.py,/admin/dashboard-stats,1
auth/rbac_original.py,/approve-user,1
auth/rbac_original.py,/change-password,1
auth/rbac_original.py,/deactivate-user,1
auth/rbac_original.py,/demo/create-admin-user,0
auth/rbac_original.py,/grant-client-access,0
auth/rbac_original.py,/health,3
auth/rbac_original.py,/login,5
auth/rbac_original.py,/pending-approvals,1
auth/rbac_original.py,/register,1
auth/rbac_original.py,/registration-status/{user_id},0
auth/rbac_original.py,/reject-user,1
auth/rbac_original.py,/user-profile/{user_id},0
auth/rbac_original.py,/validate-access,0
discovery/app_server_mappings.py,/app-server-mappings,1
discovery/app_server_mappings.py,/app-server-mappings/{app_id}/add-server,0
discovery/asset_management_modular.py,/,17759
discovery/asset_management_modular.py,/application-landscape,1
discovery/asset_management_modular.py,/applications,3
discovery/asset_management_modular.py,/bulk,8
discovery/asset_management_modular.py,/cleanup-duplicates,1
discovery/asset_management_modular.py,/data-issues,0
discovery/asset_management_modular.py,/data-issues/{issue_id}/approve,0
discovery/asset_management_modular.py,/data-issues/{issue_id}/reject,0
discovery/asset_management_modular.py,/discovery-metrics,1
discovery/asset_management_modular.py,/duplicates,0
discovery/asset_management_modular.py,/health_check,0
discovery/asset_management_modular.py,/infrastructure-landscape,1
discovery/asset_management_modular.py,/legacy/summary,0
discovery/asset_management_modular.py,/reprocess,0
discovery/asset_management_modular.py,/unlinked,1
discovery/asset_management_modular.py,/validate-data,0
discovery/asset_management_modular.py,/{asset_id},0
discovery/chat_interface.py,/chat-test,2
discovery/chat_interface.py,/ws/{client_id},0
discovery/cmdb_analysis.py,/analyze-cmdb,1
discovery/cmdb_analysis.py,/cmdb-feedback,1
discovery/cmdb_analysis.py,/cmdb-templates,1
discovery/cmdb_analysis.py,/process-cmdb,1
discovery/database_test.py,/database/health,0
discovery/database_test.py,/database/test,0
discovery/database_test.py,/test-chat-simple,0
discovery/discovery_flow.py,/active,5
discovery/discovery_flow.py,/capabilities,0
discovery/discovery_flow.py,/cleanup,1
discovery/discovery_flow.py,/config,36
discovery/discovery_flow.py,/metrics,1
discovery/discovery_flow.py,/run,0
discovery/discovery_flow.py,/status/{flow_id},0
discovery/feedback_fallback.py,/feedback/fallback,0
discovery/feedback_fallback.py,/feedback/fallback/status,0
discovery/testing_endpoints.py,/ai-parsing-analytics,0
discovery/testing_endpoints.py,/test-asset-classification,0
discovery/testing_endpoints.py,/test-field-mapping,0
discovery/testing_endpoints.py,/test-json-parsing,0
endpoints/websocket.py,/broadcast,0
endpoints/websocket.py,/sixr/{analysis_id},0
endpoints/websocket.py,/stats,3
